iter	Passed	Remaining
0	143	143375
1	145	72473
2	147	48870
3	149	37193
4	151	30152
5	153	25495
6	156	22219
7	158	19594
8	158	17465
9	161	16006
10	163	14726
11	165	13646
12	167	12741
13	169	11971
14	171	11275
15	173	10669
16	175	10122
17	176	9627
18	177	9186
19	179	8802
20	181	8441
21	182	8101
22	183	7785
23	184	7511
24	185	7248
25	186	7001
26	187	6768
27	188	6553
28	189	6351
29	190	6157
30	191	5977
31	192	5808
32	192	5647
33	193	5495
34	194	5352
35	194	5215
36	195	5083
37	195	4957
38	196	4838
39	196	4725
40	197	4617
41	198	4518
42	198	4421
43	199	4327
44	199	4237
45	200	4150
46	200	4067
47	201	3988
48	201	3911
49	202	3838
50	202	3767
51	202	3698
52	203	3633
53	203	3571
54	204	3511
55	204	3453
56	205	3396
57	205	3341
58	206	3287
59	206	3236
60	207	3186
61	207	3140
62	208	3094
63	208	3049
64	208	3005
65	209	2963
66	209	2922
67	210	2880
68	210	2843
69	211	2806
70	211	2769
71	212	2733
72	212	2698
73	212	2665
74	213	2631
75	213	2599
76	214	2568
77	214	2538
78	215	2508
79	215	2479
80	216	2451
81	216	2425
82	217	2398
83	217	2372
84	217	2345
85	218	2320
86	218	2294
87	219	2270
88	219	2246
89	219	2223
90	220	2201
91	220	2179
92	221	2157
93	221	2137
94	222	2117
95	222	2097
96	223	2078
97	223	2058
98	224	2040
99	224	2021
100	225	2002
101	225	1982
102	225	1965
103	226	1948
104	226	1931
105	226	1914
106	227	1897
107	227	1881
108	228	1866
109	228	1850
110	229	1835
111	229	1821
112	230	1806
113	230	1792
114	231	1778
115	231	1763
116	231	1749
117	232	1735
118	232	1721
119	233	1708
120	233	1695
121	233	1683
122	234	1669
123	234	1657
124	234	1644
125	235	1633
126	236	1622
127	236	1610
128	236	1599
129	237	1588
130	237	1577
131	238	1566
132	238	1556
133	239	1545
134	239	1535
135	240	1525
136	240	1514
137	240	1504
138	241	1494
139	241	1485
140	242	1476
141	242	1466
142	243	1457
143	243	1448
144	244	1439
145	244	1430
